Macro Phrase,Macro Text,,,
aorta,Atherosclerotic calcifications of the aorta are present.,,,
appendicitis,"The appendix demonstrates diffuse distention to approximately __ , consistent with acute appendicitis.  There is periappendiceal inflammatory stranding.  No abscess. ",,,
adenitis,"There are multiple small nonspecific lymph nodes in the mesenteric fat of the right lower quadrant, but there are no nodes of pathologic dimensions present. There is otherwise no evidence of bowel inflammation, inflammatory stranding, fluid collections or abscess formation. This nonspecific mesenteric adenitis can be secondary to a variety of bacterial, viral, or other inflammatory processes.",,,
Adeno myoma,"There is lobulated fluid signal intensity in the gallbladder fundus, consistent with adenomyomatosis and suggestive of chronic cholecystitis.",,,
adenoma,"There is a focal hypodense mass in the adrenal gland, consistent in appearance and density with a benign adrenal adenoma.",,,
Adenomatous,There is multilobulated benign adenomatous enlargement of the adrenal glands.,,,
Adenomyomatosis,"There is lobulated fluid density in the gallbladder fundus, consistent with adenomyomatosis and suggestive of chronic cholecystitis.",,,
Adenomyosis,"There is diffuse enlargement of the uterus, suggestive of benign adenomyosis.",,,
adenopathy,There are multiple nonspecific enlarged lymph nodes.,,,
adenopathy axillary,There are multiple enlarged nonspecific axillary lymph nodes.,,,
adenopathy cervical,There are multiple enlarged nonspecific cervical nodes.,,,
adenopathy hilar,There are multiple enlarged nonspecific hilar lymph nodes.,,,
adenopathy inguinal,There are multiple enlarged nonspecific inguinal lymph nodes.,,,
adenopathy mediastinal,There are multiple enlarged nonspecific mediastinal nodes.,,,
adenopathy mediastinum,There are multiple enlarged nonspecific mediastinal nodes.,,,
adenopathy paratracheal,There are multiple enlarged nonspecific paratracheal nodes.,,,
adenopathy periaortic,There are multiple enlarged nonspecific periaortic lymph nodes.,,,
adenopathy periportal,There are multiple enlarged nonspecific periportal lymph nodes.,,,
adenopathy portocaval,There are multiple enlarged portocaval nodes.,,,
adenopathy retroperitoneal,There are multiple enlarged nonspecific retroperitoneal lymph nodes.,,,
adrenal adenoma,"There is a focal hypodense mass in the adrenal gland, consistent in appearance and density with a benign adrenal adenoma.",,,
adrenal adenomatous,There is multilobulated benign adenomatous enlargement of the adrenal glands.,,,
adrenal atrophy,"The adrenal glands demonstrate diffuse atrophy, suggestive of exogenous production or administration of adrenocortical steroids.",,,
Adrenal calcification,The adrenal glands demonstrate punctate calcifications consistent with remote infection.,,,
adrenal enlargement,There is diffuse bilateral nonspecific adrenal enlargement.,,,
age indeterminate,This abnormality is age-indeterminate.,,,
age indeterminate multiple,These abnormalities are age-indeterminate.,,,
age mild,Impression: Age-related cerebral atrophy and mild chronic microvascular ischemic changes.,,,
age moderate,Impression: Age-related cerebral atrophy and moderate chronic microvascular ischemic changes.,,,
age severe,Impression: Age-related cerebral atrophy and extensive chronic microvascular ischemic changes.,,,
air bronchograms,Air bronchograms are visualized within this consolidated region.,,,
Air fluid,There are nonspecific air-fluid levels present.,,,
air trapping,"There is heterogeneous attenuation of the pulmonary parenchyma, consistent with air trapping from underlying small airways disease.",,,
amiodarone,There is increased hepatic parenchymal density consistent with amiodarone therapy.,,,
Ankle ligaments,The anterior and posterior talofibular ligaments are normal. The calcaneofibular ligament is normal. The distal tibial/fibular syndesmosis is not widened. The deep and superficial fibers of the deltoid ligament are normal. The Lisfranc ligament is normal. The plantar fascia and its calcaneal origin are normal.,,,
aorta mild,The aorta demonstrates mild atherosclerotic calcification.,,,
aorta moderate,The aorta demonstrates moderate atherosclerotic calcification.,,,
aorta severe,The aorta demonstrates extensive atherosclerotic calcification.,,,
aortic stent,"There has been a stent graft repair of an abdominal aortic aneurysm. The stent graft limbs are in appropriate position, and there is no evidence of endoleak or other complications.",,,
aortic valve calcs,There is calcification of the aortic valve annulus.,,,
Aortobiliac,There has been placement of an aortobiliac vascular graft.,,,
apical,There is biapical pleural thickening consistent with remote granulomatous organism exposure.,,,
Apical blebs,There are multiple subpleural blebs in the lung apices.,,,
apices,The visualized portions of the lung apices are normal.,,,
appendectomy,There has been an appendectomy.,,,
Appendiceal stump,A normal short appendix or appendiceal stump is identified.,,,
appendicitis mild,"The appendix demonstrates mild diffuse distention to approximately __ , consistent with acute appendicitis.  There is mild periappendiceal inflammatory stranding.  No abscess. ",,,
appendicitis moderate,"The appendix demonstrates moderate diffuse distention to approximately __ , consistent with acute appendicitis.  There is moderate periappendiceal inflammatory stranding.  No abscess. ",,,
Appendicolith,There is a focal intraluminal appendiceal calcification.,,,
appendix,A normal appendix is identified.,,,
asbestos,There are diaphragmatic and pleural calcifications consistent with remote asbestos exposure.,,,
ascites small,There is a small amount of free intraperitoneal fluid present.,,,
atelectasis,There is minimal bibasilar atelectasis.,,,
atlantoaxial degenerative,Atlantoaxial joint degenerative changes are present. There is calcification of the transverse ligament compatible with CPPD arthropathy.,,,
atrophy,"There is diffuse cerebral atrophy present, consistent with this patient's age.",,,
Avascular necrosis,"There is a focus of geographic signal abnormality with serpiginous peripheral sclerosis in the subchondral femoral head, consistent with avascular necrosis.",,,
Avez Rizvi's Commands,"The spine, sacroiliac joints, and hip joints are normal.",,,
bases,The visualized portions of the lung bases are normal.,,,
Bibasilar,There is bibasilar subsegmental atelectasis.,,,
bilateral lens,There have been bilateral intraocular lens replacements.,,,
bladder,The bladder is normal.,,,
bladder air,There is a small amount of intraluminal air consistent with instrumentation.,,,
Bladder artifact,The bladder is obscured by arthroplasty artifact.,,,
Bladder calcifications,There are multiple calcified uroliths in the bladder.,,,
Bladder contracted,The bladder is decompressed but otherwise normal.,,,
Bladder decompressed,The bladder is decompressed but otherwise normal.,,,
Bladder distended,The bladder is distended.,,,
Bladder diverticula,There are benign bladder diverticula.,,,
Bladder diverticulum,There is a benign bladder diverticulum.,,,
Bladder outlet,The bladder demonstrates diffuse wall thickening consistent with chronic outlet obstruction.,,,
blastic,"There are extensive blastic lesions throughout all of the visualized skeletal structures, consistent with metastatic disease.",,,
blebs,There are multiple subpleural blebs in the lung apices.,,,
bone island,There is a benign bone island.,,,
Both arteries,"Impression: No evidence of significant stenosis, aneurysmal dilatation, or dissection involving the arteries of the head and neck.",,,
Bowel decompressed,There is bowel wall thickening related to incomplete distention.,,,
Bowel nonspecific,There is nonspecific bowel wall thickening. This may be related to incomplete distention.,,,
bowel resection,There are multiple surgical clips consistent with previous bowel resection and reanastomosis.,,,
bypass,"Sternotomy wires and mediastinal surgical clips are present, consistent with previous coronary arterial bypass grafting.",,,
cardiomegaly,The heart demonstrates diffuse enlargement.,,,
cardiomegaly mild,The heart demonstrates mild diffuse enlargement.,,,
cardiomegaly moderate,The heart demonstrates moderate diffuse enlargement.,,,
cardiomegaly severe,The heart demonstrates marked diffuse enlargement.,,,
cast,Overlying cast material obscures fine bone detail and soft tissue evaluation.,,,
cavum septum,There is a normal-variant cavum septum pellucidum.,,,
cervical degenerative,"There are degenerative changes with osteophyte formation, mild facet hypertrophic changes, disc space narrowing, and minimal endplate sclerosis.  There is no evidence of significant spinal canal stenosis.",,,
cervical mild,The cervical spine demonstrates mild degenerative changes at multiple levels.,,,
cervical moderate,The cervical spine demonstrates moderate degenerative changes at multiple levels.,,,
cervical severe,The cervical spine demonstrates extensive degenerative changes at multiple levels.,,,
cervical shotty,There are numerous prominent but non-pathologic lymph nodes in the posterior cervical triangle. There are no nodes of pathologic dimensions.,,,
cholecystectomy,There has been a cholecystectomy.,,,
cholecystectomy duct,"There is a mild, expected degree of intrahepatic and common bile duct dilation.",,,
cholelithiasis,Multiple calcified gallstones are present in the gallbladder.,,,
Chronic L5,There are bilateral chronic L5 pars interarticularis defects.,,,
cirrhosis,"There is a finely nodular contour to the liver and hypertrophy of the caudate lobe, consistent with end-stage cirrhosis.",,,
cirrhosis ultrasound,"There is a diffuse coarse hyperechoic appearance to the liver parenchyma, consistent with cirrhosis.",,,
cisterna,There is a normal benign mega cisterna magna.,,,
click adrenal,The adrenal glands are normal.,,,
click adrenals,The adrenal glands are normal.,,,
click bowel,There is no evidence of intestinal perforation or obstruction.,,,
click by malleolar,Bimalleolar soft tissue swelling is present.,,,
associated,There is associated periureteral and perinephric fat stranding.,,,
calculi,There are bilateral nonobstructing renal calculi.,,,
ascites medium,There is a moderate amount of free intraperitoneal fluid present.,,,
ascites severe,There is a large amount of free intraperitoneal fluid present.,,,
low grade,There are multiple fluid-filled loops of small bowel and colon noted throughout the abdomen and pelvis. There is no frank dilatation or obstruction. Findings are compatible with low grade enterocolitis.,,,
click Cervical lordosis,"Impression: Straightening of the normal cervical lordosis, which can be seen on the basis of patient positioning versus muscle spasm.",,,
click common,The common bile duct is not dilated.,,,
click dish,There are diffuse enthesopathic changes consistent with benign diffuse idiopathic skeletal hyperostosis (DISH).,,,
click flow,There is normal vascular flow.,,,
click Hallux valgus mild,There is mild hallux valgus deformity.,,,
click Hallux valgus moderate,There is moderate hallux valgus deformity.,,,
click Hallux valgus severe,There is marked hallux valgus deformity.,,,
click hardware,Surgical instrumentation is in appropriate position and shows no evidence of complications.,,,
Click hydro,"There is no evidence of hydronephrosis, masses, or stones.",,,
click Interval improvement,This demonstrates interval improvement compared to the prior study.,,,
click Interval progression,This demonstrates interval progression compared to the prior study.,,,
click jets,Bilateral ureteral jets are identified.,,,
click kidney cortical,"There is diffuse bilateral renal cortical thinning, consistent with chronic renal insufficiency.",,,
click liver,There are no focal liver lesions present.,,,
click lumbar,The lumbar spine is normal.,,,
click Lumbar postoperative,Postoperative changes are present in the lumbar spine.,,,
click lungs,The lungs are normal.,,,
click multiple,Impression: Multiple other nonacute findings as described above.,,,
click muscle,The muscles and soft tissues show no evidence of abnormal signal intensity to suggest injury or inflammation.,,,
click nodule,"As per Fleischner Society Guidelines, followup is recommended in 6-12 months.",,,
click pancreas,The pancreas is normal.,,,
click report,A report from a CT scan of the dated was available for review.  No images were available for review.,,,
click resection,There are multiple surgical clips consistent with previous bowel resection and reanastomosis.,,,
click sinuses,The sinuses are normal.,,,
click soft tissues,The soft tissues are unremarkable.,,,
click spine,The spine is normal.,,,
click spleen,The spleen is normal.,,,
click thoracolumbar moderate,The visualized thoracolumbar spine demonstrates moderate degenerative changes at multiple levels.,,,
Click thoracolumbar severe,The visualized thoracolumbar spine demonstrates extensive degenerative changes at multiple levels.,,,
click upper abdomen,"The visualized portions of the liver, pancreas, adrenal glands, and spleen show no significant abnormalities.",,,
click vascular,The vasculature is normal.,,,
condensans,Benign osteitis condensans ilii is present.,,,
